0,2221,844,1768.77
1,19035,55,1106.51
2,10366,13,1411.48
3,11540,747,276.65
4,13400,118,1528.09
5,8805,164,1375.55
6,10926,629,1201.25
7,14528,829,978.16
8,12129,579,1631.05
9,14941,176,377.06
10,17357,20,1558.56
11,14519,300,1240.62
12,5491,335,1179.4
13,4728,112,444.31
14,20204,532,1668.64
15,10796,213,1144.54
16,12310,644,659.2
17,16262,532,1355.99
18,11722,236,814.7
19,9152,102,37.48
20,9934,234,1521.0
21,15505,826,1638.04
22,16815,1148,1045.22
23,8993,205,1393.32
24,11295,1007,858.54
25,4459,252,159.84
26,10559,621,1089.24
27,18403,170,1694.22
28,18065,103,1308.56
29,12120,321,236.29
30,11545,117,1723.88
31,4351,104,392.49
32,5074,318,1073.08
33,14364,153,1479.84
34,19059,1116,1204.28
35,241,162,1411.16
36,15858,529,1613.65
37,10864,578,500.6
38,19099,20,494.18
39,15854,236,354.76
40,6706,128,910.35
41,3703,385,816.54
42,12579,860,880.79
43,5936,110,741.09
44,17305,8,1678.99
45,12191,10,1484.69
46,16133,286,45.42
47,7728,941,1170.4
48,5441,197,1100.81
49,15963,920,354.9
50,7323,148,425.42
51,4656,581,540.88
52,5034,232,1868.85
53,12182,93,1080.73
54,19937,204,1329.19
55,3731,513,845.0
56,3208,610,612.51
57,3391,446,954.07
58,2721,683,161.68
59,10202,109,1261.26
60,12945,762,987.55
61,11059,21,1506.64
62,4868,604,373.51
63,5764,149,716.38
64,4068,44,1311.77
65,13575,246,976.72
66,17230,146,577.21
67,6133,224,999.09
68,8394,117,779.91
69,10766,396,1515.85
70,19266,36,712.38
71,395,523,1624.65
72,4876,389,780.13
73,18423,331,1412.39
74,13492,589,1751.7
75,18355,24,1310.73
76,19528,136,1106.64
77,18017,110,1434.91
78,15588,284,670.51
79,11750,187,508.53
80,1778,121,72.99
81,7905,25,1851.4
82,10601,390,344.57
83,9165,230,958.18
84,16697,227,1330.86
85,11438,85,131.8
86,8154,798,895.42
87,13573,144,1300.79
88,15796,78,1766.39
89,15155,527,608.91
90,10412,117,1951.24
91,8092,425,1619.92
92,5637,49,849.66
93,12622,24,718.45
94,1496,1157,1570.65
95,5222,191,1043.45
96,1401,146,440.1
97,626,764,1794.92
98,4354,539,519.63
99,5973,15,1686.6
100,7304,99,864.97
101,8732,981,953.4
102,15661,230,539.16
103,5836,91,708.88
104,18794,36,1824.68
105,15537,63,1623.34
106,322,23,1520.28
107,7938,299,1468.85
108,17494,637,1042.42
109,16446,74,99.23
110,12520,1088,688.38
111,11001,169,56.87
112,16733,439,969.35
113,11638,753,1814.34
114,5389,178,1910.41
115,5756,335,1991.5
116,307,388,1887.29
117,7319,1173,1639.97
118,6984,9,393.91
119,6602,236,1055.51
120,9634,150,381.42
121,13790,409,1183.93
122,1149,261,1968.12
123,13735,600,1554.06
124,8647,679,1398.87
125,14101,356,1888.49
126,15441,976,680.52
127,3476,74,800.33
128,2507,515,915.44
129,1298,26,1748.81
130,10527,176,263.68
131,6350,843,1939.7
132,14433,303,574.24
133,8605,95,943.68
134,4577,203,817.67
135,11920,9,1443.37
136,12173,115,1746.24
137,14941,517,377.06
138,1201,326,90.79
139,9173,17,1054.18
140,39,58,62.25
141,16838,270,1531.28
142,19792,1151,1816.2
143,2979,420,1575.88
144,3417,90,883.56
145,14587,583,452.36
146,5275,100,1153.43
147,11312,368,1175.31
148,9102,129,252.87
149,15699,395,825.81
150,3178,641,603.99
151,712,71,1593.47
152,9882,186,1902.66
153,12132,395,255.31
154,4471,59,1773.42
155,8328,168,240.07
