0,29,2021-04-27,9
1,93,2021-06-03,12
2,2,2021-10-22,4
3,34,2021-05-27,18
4,15,2021-07-25,6
5,5,2022-07-31,13
6,14,2022-03-18,17
7,8,2021-07-05,12
8,99,2021-11-11,20
9,31,2021-05-13,5
10,79,2022-05-12,20
11,17,2020-10-11,15
12,26,2020-10-28,13
13,36,2021-10-25,5
14,34,2021-10-24,2
15,22,2021-10-05,4
16,97,2022-06-12,15
17,23,2022-04-29,14
18,58,2021-04-23,3
19,90,2021-11-11,10
20,83,2022-05-06,20
21,36,2022-05-15,17
22,58,2022-08-28,9
23,57,2021-12-16,18
24,49,2020-10-24,14
25,6,2021-10-16,11
26,92,2021-11-24,9
27,4,2020-10-16,19
28,32,2020-10-25,8
29,59,2022-04-05,4
30,71,2022-07-18,7
31,73,2020-12-14,11
32,55,2021-05-07,0
33,54,2021-11-17,15
34,23,2020-12-02,0
35,34,2022-02-19,9
36,17,2020-10-28,4
37,51,2022-05-06,0
38,90,2021-06-28,17
39,70,2021-01-04,0
40,38,2021-03-25,6
41,25,2020-09-23,18
42,68,2021-07-26,20
43,84,2021-10-03,2
44,79,2022-07-09,5
45,54,2021-12-28,4
46,10,2021-05-28,7
47,20,2021-08-21,19
48,54,2021-11-02,13
49,16,2021-08-22,19
50,85,2021-02-25,17
51,10,2021-08-23,6
52,53,2021-04-10,15
53,51,2021-09-23,6
54,100,2021-12-25,13
55,30,2022-07-15,10
56,85,2021-12-29,0
57,64,2021-12-13,19
58,89,2022-03-25,18
59,16,2020-10-28,8
60,38,2022-05-19,1
61,12,2021-01-29,10
62,92,2020-12-01,0
63,89,2020-10-29,19
64,67,2021-09-05,16
65,93,2021-07-08,19
66,39,2020-09-08,10
67,31,2021-03-25,10
68,7,2021-04-09,13
69,63,2022-01-20,5
70,49,2022-03-03,10
71,40,2021-12-29,3
72,14,2021-12-12,6
73,5,2021-11-27,17
74,78,2020-11-30,3
75,83,2020-09-24,15
76,45,2021-04-09,9
77,42,2021-06-23,1
78,79,2020-12-07,1
79,93,2021-10-16,1
80,77,2021-01-20,17
81,100,2021-03-15,4
82,51,2021-10-10,20
83,9,2021-03-31,4
84,84,2021-09-07,18
85,83,2022-02-05,6
86,0,2021-02-03,4
87,86,2020-11-18,3
88,15,2021-11-23,20
89,74,2021-05-24,15
90,78,2022-09-02,15
91,62,2022-05-25,8
92,88,2021-05-16,2
93,4,2022-05-31,13
94,30,2021-01-17,20
95,14,2021-12-22,16
96,89,2022-03-08,15
97,17,2021-04-26,0
98,79,2022-07-03,5
99,58,2022-03-03,6
100,81,2022-07-27,13
101,18,2020-12-29,1
102,11,2021-09-12,15
103,76,2022-08-23,18
104,64,2022-05-14,9
105,62,2021-09-21,17
106,92,2021-05-22,17
107,50,2021-05-09,9
108,3,2020-12-05,16
109,16,2020-11-06,3
110,20,2021-06-05,16
111,60,2021-05-07,10
112,38,2022-02-22,7
113,69,2021-09-09,18
114,27,2021-06-30,20
115,83,2021-03-19,4
116,74,2022-06-27,0
117,94,2021-11-12,14
118,72,2021-04-10,8
119,74,2022-02-11,12
120,15,2021-02-02,15
121,82,2021-08-20,13
122,32,2021-06-03,20
123,29,2021-07-06,6
124,77,2021-09-26,6
125,30,2021-09-15,11
126,39,2021-06-26,12
127,20,2021-10-20,13
128,44,2021-11-15,18
129,63,2021-03-18,2
130,38,2022-07-19,16
131,5,2020-09-10,13
132,79,2021-06-09,1
133,20,2021-04-10,6
134,7,2020-10-01,14
135,62,2021-01-18,6
136,65,2021-06-09,9
137,16,2022-04-10,9
138,91,2022-08-05,20
139,86,2022-02-01,15
140,33,2021-08-02,6
141,1,2020-12-28,20
142,37,2021-03-06,7
143,64,2020-11-02,6
144,19,2021-12-19,15
145,52,2021-08-20,10
146,18,2020-10-12,3
147,37,2021-10-19,2
148,75,2020-10-09,0
149,85,2021-04-23,4
150,4,2022-09-01,3
151,71,2022-05-28,15
152,96,2022-05-16,0
153,49,2020-11-29,11
154,68,2021-12-19,13
155,2,2020-12-29,18
156,91,2020-12-18,10
157,14,2021-06-06,12
158,86,2022-01-07,11
159,47,2021-06-01,6
160,26,2021-08-21,3
161,67,2022-03-20,15
162,31,2021-06-16,18
163,14,2022-07-12,6
164,43,2022-08-27,2
165,18,2020-10-02,18
166,8,2021-04-29,1
167,93,2020-11-10,8
168,21,2021-11-03,0
169,21,2021-01-02,0
170,17,2020-12-21,0
171,16,2021-05-24,18
172,62,2021-06-05,14
173,54,2022-07-05,14
174,72,2021-02-27,8
175,78,2022-03-20,0
176,56,2021-09-02,4
177,43,2021-05-21,10
178,51,2021-10-11,18
179,65,2021-07-09,13
180,99,2021-08-04,20
181,62,2021-07-10,16
182,84,2021-01-15,13
183,47,2020-11-09,14
184,70,2021-05-29,20
185,7,2020-10-02,10
186,59,2020-09-23,7
187,15,2021-06-25,0
188,62,2022-02-27,12
189,32,2021-09-12,3
190,15,2020-12-23,7
191,71,2022-01-05,12
192,26,2022-04-29,8
193,20,2021-01-23,2
194,61,2020-11-21,19
195,72,2022-02-16,3
196,2,2022-02-24,11
197,85,2021-04-06,10
198,40,2022-06-28,5
199,76,2021-12-15,7
200,77,2021-11-17,4
201,31,2022-07-24,20
202,10,2022-07-29,11
203,31,2022-01-16,20
204,88,2022-07-01,18
205,88,2021-06-18,0
206,31,2022-07-07,9
207,86,2021-12-06,14
208,28,2022-03-20,6
209,49,2022-02-04,10
210,72,2020-09-14,12
211,78,2021-07-10,16
212,36,2021-06-02,13
213,2,2021-05-04,18
214,98,2020-12-29,18
215,54,2021-06-10,16
216,44,2022-06-18,16
217,47,2020-11-01,14
218,73,2021-07-15,3
219,25,2022-04-17,16
220,14,2021-11-02,19
221,67,2020-09-10,6
222,49,2020-12-29,11
223,86,2022-01-10,2
224,77,2022-04-19,18
225,5,2020-10-27,10
226,36,2021-05-04,2
227,99,2022-03-05,1
228,19,2021-04-03,14
229,88,2021-05-09,20
230,8,2020-12-10,13
231,90,2022-01-23,8
232,86,2021-02-02,14
233,49,2022-04-12,15
234,11,2021-10-07,7
235,69,2021-02-21,20
236,50,2021-03-03,0
237,2,2021-01-10,2
238,31,2020-11-16,1
239,15,2022-04-25,12
240,95,2021-10-15,9
241,45,2022-06-03,14
242,54,2022-07-15,4
243,92,2022-05-25,20
244,33,2021-06-22,8
245,94,2021-10-27,3
246,10,2021-06-19,19
247,37,2022-07-26,13
248,90,2022-02-12,7
249,70,2020-09-12,10
250,88,2021-02-10,11
251,55,2022-08-09,7
252,26,2022-03-02,3
253,20,2020-12-31,17
254,75,2022-08-24,10
255,6,2020-12-22,3
256,22,2020-12-18,4
257,45,2021-01-17,14
258,22,2021-11-30,10
259,90,2022-01-17,3
260,54,2022-06-11,15
261,29,2021-03-19,2
262,69,2020-12-10,18
263,42,2021-08-30,17
264,65,2020-10-10,6
265,81,2021-11-15,19
266,28,2021-06-17,15
267,36,2021-05-27,18
268,32,2020-11-10,18
269,21,2021-04-10,0
270,76,2020-12-20,17
271,43,2021-05-15,17
272,57,2022-01-13,15
273,56,2021-11-20,11
274,7,2020-12-17,16
275,42,2022-08-21,20
276,3,2022-01-10,5
277,85,2020-10-30,19
278,27,2022-01-21,8
279,44,2021-08-22,9
280,86,2022-03-30,18
281,27,2021-02-28,13
282,14,2022-06-28,15
283,64,2022-08-27,9
284,67,2022-01-25,8
285,83,2021-12-14,7
286,6,2022-03-10,18
287,50,2021-01-19,2
288,5,2021-06-15,14
289,99,2022-08-02,18
290,65,2022-07-15,7
291,79,2021-03-31,4
292,80,2021-07-26,19
293,57,2021-08-20,11
294,20,2021-01-27,9
295,6,2021-06-23,12
296,26,2021-06-30,9
297,61,2021-01-13,20
298,15,2022-03-06,19
299,45,2021-01-02,4
300,40,2021-06-19,5
301,9,2021-06-08,3
302,46,2021-07-15,7
303,64,2020-10-24,2
304,58,2020-10-26,3
305,19,2022-07-24,17
306,60,2021-04-12,0
307,82,2022-02-13,9
308,69,2021-11-02,0
309,23,2021-05-22,9
310,82,2021-04-18,16
311,22,2022-02-22,3
312,17,2021-12-18,1
313,76,2021-05-06,7
314,5,2021-02-20,6
315,58,2022-03-04,9
316,27,2022-05-14,3
317,11,2022-03-02,8
318,42,2021-03-30,19
319,3,2021-04-24,3
320,39,2020-09-15,20
321,52,2021-03-17,17
322,66,2022-06-18,4
323,68,2021-10-01,0
324,14,2022-07-04,4
325,90,2021-03-30,16
326,71,2021-09-01,10
327,63,2021-11-08,8
328,37,2022-01-13,8
329,10,2021-10-13,17
330,49,2022-05-26,0
331,41,2021-07-16,13
332,55,2021-08-16,19
333,58,2020-10-07,13
334,53,2021-10-25,12
335,30,2021-02-09,14
336,44,2022-02-25,3
337,45,2021-08-11,4
338,88,2022-07-25,0
339,28,2022-02-12,18
340,17,2022-07-16,7
341,61,2021-02-03,15
342,50,2020-10-16,18
343,14,2021-08-26,16
344,46,2022-02-01,10
345,10,2021-10-29,12
346,44,2021-11-01,6
347,20,2021-08-17,6
348,74,2021-01-20,12
349,53,2021-06-26,13
350,79,2021-04-19,2
351,42,2021-12-17,18
352,4,2022-05-04,6
353,17,2022-04-02,9
354,83,2022-05-07,1
355,61,2022-06-29,16
356,7,2021-10-31,3
357,90,2022-07-06,19
358,79,2021-02-01,9
359,37,2021-04-17,15
360,16,2020-10-25,15
361,81,2021-12-26,11
362,8,2022-07-26,14
363,36,2020-09-28,6
364,96,2021-08-02,10
365,72,2021-04-15,19
366,94,2021-02-14,14
367,12,2022-06-03,6
368,57,2021-11-21,19
369,99,2020-12-04,19
370,43,2021-02-14,1
371,38,2022-08-20,0
372,55,2021-09-20,16
373,93,2022-02-04,16
374,5,2021-02-06,18
375,9,2022-07-10,7
376,75,2021-06-26,11
377,24,2022-08-11,0
378,87,2021-02-27,10
379,5,2022-03-01,9
380,95,2021-05-27,3
381,50,2021-05-29,5
382,54,2021-09-08,4
383,81,2022-06-25,10
384,94,2021-08-11,13
385,63,2021-07-08,0
386,65,2020-11-24,10
387,22,2022-06-18,13
388,12,2022-05-06,14
389,78,2022-07-09,12
390,77,2022-08-17,17
391,76,2021-03-24,17
392,70,2021-03-24,10
393,68,2022-01-19,13
394,41,2022-01-07,15
395,10,2022-09-07,10
396,30,2021-10-18,12
397,51,2022-08-30,18
398,98,2021-01-24,20
399,54,2021-05-09,5
400,99,2020-12-09,1
401,51,2020-11-23,11
402,3,2020-11-28,19
403,62,2021-08-01,6
404,43,2022-07-22,0
405,89,2022-01-25,8
406,14,2022-08-30,5
407,87,2021-12-03,19
408,90,2021-09-10,15
409,95,2022-08-19,16
410,74,2022-03-20,18
411,93,2021-03-26,1
412,54,2020-10-26,5
413,99,2021-04-25,10
414,43,2021-01-25,3
415,70,2020-10-03,17
416,85,2021-07-20,16
417,26,2020-11-02,6
418,38,2022-03-22,20
419,99,2021-01-22,17
420,76,2022-07-07,4
421,22,2021-05-05,10
422,15,2021-07-16,7
423,43,2020-11-25,12
424,55,2022-04-12,19
425,27,2021-02-11,20
426,64,2022-05-06,11
427,69,2021-11-10,6
428,78,2022-08-14,2
429,18,2022-05-19,19
430,74,2022-01-01,20
431,47,2021-11-18,20
432,85,2021-07-23,10
433,47,2020-11-06,18
434,43,2021-10-21,15
435,39,2021-09-12,20
436,72,2021-07-22,11
437,74,2021-03-15,8
438,55,2022-01-22,1
439,8,2022-02-04,17
440,88,2022-04-29,12
441,18,2022-09-04,13
442,26,2021-08-15,16
443,98,2021-12-16,3
444,1,2021-09-18,13
445,5,2021-04-08,16
446,36,2021-02-14,10
447,5,2022-03-06,1
448,12,2020-12-16,3
449,48,2022-05-10,2
450,17,2021-03-01,13
451,57,2021-03-20,17
452,80,2022-08-02,9
453,31,2021-07-24,7
454,24,2020-12-31,2
455,53,2021-08-03,12
456,26,2022-05-03,16
457,85,2020-09-19,15
458,71,2022-09-06,10
459,35,2022-07-09,10
460,52,2022-01-24,20
461,84,2021-10-25,8
462,26,2021-11-26,13
463,79,2021-03-24,14
464,79,2021-10-23,12
465,61,2021-01-26,7
466,0,2022-06-13,5
467,70,2021-12-16,13
468,18,2022-06-02,17
